name,company_id,customer_id,subscription_id,mrr,arr,discount_count,currency,interval
ALLESPRACHEN,co_67a90363-8df9-4a24-b76b-ac99db68a23f,cus_SDbmedVY4TDSKC,sub_1RJAZwKojVEYZPlX3EOfNYOS,199,,0.0,eur,month
Axial,co_284704c2-1f40-441a-95a3-ada3db248fa5,cus_SDekhZMiFLa9OY,sub_1RJDRYKojVEYZPlXFQCsueCu,90,,0.0,eur,month
Insurify,co_9924c6a2-cfb5-4b86-a763-1d8cab2282af,cus_SDlEgglCPH8lB4,sub_1RJJhgKojVEYZPlXcbSrib8A,199,,0.0,eur,month
DECATHLON,co_fbe301f6-21cf-4c3f-949e-d2493e7f6f09,cus_SDw7buxjTnl517,sub_1RJUHJKojVEYZPlXXZeDjH0c,90,,0.0,eur,month
morefire,co_231c1c4e-613f-4f61-bd6f-a7d181afb48f,cus_SDwj0pTmNgdp3R,sub_1RJUqEKojVEYZPlX5bNwpkmR,90,,0.0,eur,month
Interactive Marketing Group,co_bf082a13-dd03-4081-96cb-1d78567e5e49,cus_SDxuEOM4M4M89Q,sub_1RJW0JKojVEYZPlX9a0g30rZ,90,,0.0,eur,month
ScaledOn,co_ea239bc3-92b4-4b66-af8f-dca352ac7eff,cus_SETbLZIzjHLgAo,sub_1RK0e5KojVEYZPlXk9oDP9jI,90,,0.0,eur,month
LEI Register,co_8ea65313-0ce5-4286-88b0-befa19270c72,cus_SEjjLEIiPUr2HG,sub_1RKGLOKojVEYZPlXqWBpDhUK,90,,0.0,eur,month
Aikido Security,co_4024adde-3b15-45b2-8882-6981adf12dd6,cus_SFrO3veDCQby9V,sub_1RLLimKojVEYZPlXXlhWDLNK,299,,0.0,eur,month
We Communications,co_a987e5fc-7b61-4a22-8077-fafa85e00f79,cus_SGEYGxHHu1Fjke,sub_1RLi8BKojVEYZPlXhCE0gH6Y,199,,0.0,eur,month
Nord Security,co_25995de3-0232-40a1-809b-851849723430,cus_SGFL7brlxQxXp0,sub_1RLiriKojVEYZPlX6wrVhaDQ,199,,0.0,eur,month
BODi,co_28e56d63-d6d9-4cdb-832d-28e3af57827d,cus_SFxzxR9JvsLfB1,sub_1RMFRjKojVEYZPlXFTBGp3H2,199,,0.0,eur,month
Reedsy,co_23f7aaf4-d7d5-4348-a349-6350180db29f,cus_SGJy1t4fvJ5B4q,sub_1RMS8yKojVEYZPlXXz7bRsTG,199,,0.0,eur,month
rapidmail,co_95445d38-178c-4cbc-9ad5-2353c07ddb7e,cus_SH3KfE622ddxNf,sub_1RMVs1KojVEYZPlXneSkSyx2,159,1910.0,0.0,eur,year
CAMPFIRE,co_4a07a690-5cd9-4c19-bdc2-e6953e9b0cb1,cus_SHDFLGt0fjTD5G,sub_1RMepIKojVEYZPlXT0nQph6o,90,,0.0,eur,month
DiscoverCars,co_c019a11c-dcdf-42d7-8eab-868abb88f381,cus_SHJ7WKUQPH9QGq,sub_1RMkW7KojVEYZPlX0xbxGCy6,499,,0.0,eur,month
Abimanufaktur,co_9c1198ca-3e11-4785-979e-005c8dccbce2,cus_SHJJeL6cRWwv1a,sub_1RMkgbKojVEYZPlX8vDWJEQl,109,,0.0,eur,month
bugbug,co_f9beba24-aea5-4e8b-b456-1f1611eba06e,cus_SEP0yu2R57Zc5V,sub_1RMqfiKojVEYZPlXk27wlUWC,90,,0.0,eur,month
Siteminder,co_0657c6cf-967c-4674-b118-3718d9bab6c6,cus_SGqskTrof2w1ri,sub_1RNpeLKojVEYZPlXQETnBd4M,299,,0.0,eur,month
Enyma,co_6a68501f-fd97-4500-a2ad-b696d05823db,cus_SIS53bR5M9oc5n,sub_1RNrC4KojVEYZPlXJkgTcJWi,90,,0.0,eur,month
SEOlyse,co_342d7a7a-4d31-487c-8a25-29429cd594f6,cus_SIUIl2FFJIUvHz,sub_1RNtN6KojVEYZPlXG1SKFmcR,90,,0.0,eur,month
Plakos,co_548279eb-c107-4204-a71e-b814f934ecba,cus_SFvOZo63CgjMTO,sub_1RNuxBKojVEYZPlXVp5v2RaM,90,,0.0,eur,month
Exsitec,co_69c2d30d-8756-41ae-8a02-98bc6b94f195,cus_SIXlRyYZsIOhjk,sub_1RNwgHKojVEYZPlXr7367W0f,90,,0.0,eur,month
Circle,co_26154396-faa3-4b3e-a704-b18a8ef48f53,cus_SFwab8q6vhQovG,sub_1RNyPGKojVEYZPlXFEHA3673,199,,0.0,eur,month
Coffee Circle,co_857a18f7-c249-4556-8a44-c466b9ecef40,cus_SIvF0hkYnjHZjU,sub_1ROJPtKojVEYZPlXOYeU8G0F,128,,0.0,eur,month
Fuel Finance,co_c42ef3f6-9e52-472b-bc42-3788fe6f66f2,cus_SJG9lKqXU0yiar,sub_1ROdhOKojVEYZPlXHWWauEx5,90,,0.0,eur,month
lehof,co_1e95513b-eab5-4b87-86b3-7971f595e762,cus_SGd0nfKV7bIKXW,sub_1ROdyjKojVEYZPlXICHdrhyd,90,,0.0,eur,month
rlvnt,co_5c3edb11-3370-463b-97f0-dbbd03cc7fcb,cus_SJGezu6PqMWvuV,sub_1ROe7zKojVEYZPlXpExauJn1,989,,0.0,eur,month
ClickUp,co_f32d979b-86fe-4308-b89a-8ad4e0a5d64b,cus_SJM3kIsqfYgpAD,sub_1ROjLxKojVEYZPlXR2MM3Wau,499,,0.0,eur,month
Dig Insights,co_399d55cc-a36b-430d-8790-f1971620d327,cus_SJPIXspv8C1Rv7,sub_1ROmTzKojVEYZPlXvLfJqpQQ,90,,0.0,eur,month
projx,co_43497a34-d451-4e48-8034-bb26824c57d0,cus_SJcDa9bxaRwJmE,sub_1ROz0YKojVEYZPlXxk5PRvNa,90,,0.0,eur,month
LEVEL,co_651681b3-53c3-41af-8155-aa0c47fde283,cus_SEpafbS1YkPUwr,sub_1RP47QKojVEYZPlXgFmhorIQ,90,,0.0,eur,month
Cybay,co_597eb219-2ed9-46e7-86dd-37dcf9ab608c,cus_SJkN0HIRRxwuck,sub_1RP6tqKojVEYZPlXp6V1WeM2,180,,0.0,eur,month
Leroy Merlin Romania,co_720ab786-b8f9-4a0b-8cb5-4819c85413e7,cus_SK2vlTgKVSDBCk,sub_1RPOqMKojVEYZPlXqnEczVcR,90,,0.0,eur,month
Double Digits,co_c5c8c83b-67b0-4278-98ef-eb32ab27ae02,cus_SKODdClDt8aeKN,sub_1RPjRXKojVEYZPlXw60HNUiO,199,,0.0,eur,month
Omio,co_4b9c87a8-7ac4-4445-bb2a-0fe94e4ac692,cus_S6XINjXr7NSAcc,sub_1RQOv5KojVEYZPlXDclEpl8p,169,2029.0,0.0,eur,year
Steremat,co_68d0a0a9-1d1b-4e01-b527-d9716a0fddd6,cus_RxaOoAMl0lP5aU,sub_1RQPLqKojVEYZPlXbHMMGYs4,120,1440.0,0.0,eur,year
Tidely,co_e999aff2-1c5c-4c07-91c6-e765872d507e,cus_SIU5gqh024QoAM,sub_1RQSUGKojVEYZPlXl1eZHV1o,90,,0.0,eur,month
adMates,co_97f87980-d49d-4a84-92fc-ea01533f54f8,cus_SLA24aQYUTMIN6,sub_1RQTivKojVEYZPlXxjTvSic9,178,,0.0,eur,month
,,cus_SLACHdyxnC2cMD,sub_1RQTsTKojVEYZPlXR5mjCeUS,199,,0.0,eur,month
Scratch,co_7fd774eb-b711-43c3-a9bb-1135fa263bec,cus_SLBONViM1gvVDW,sub_1RQV27KojVEYZPlX6SjdYYp8,466,,0.0,usd,month
Australian Digital,co_c832ba79-9985-49da-b6ad-63b37f9c8b34,cus_SLNEep1fQQTX9T,sub_1RQgVAKojVEYZPlXpofEIaIk,89,,0.0,eur,month
Semji,co_3c482242-62b1-4dc2-a51d-ff81c74bd2a1,cus_SLYdRVeCeuOGcL,sub_1RQrW6KojVEYZPlXTLeCl5z5,576,,0.0,eur,month
Seybold,co_8e97ce93-4182-4891-a4ce-d564e7cde105,cus_SLa5bpjPNzhYxa,sub_1RQsvtKojVEYZPlXR4AXd1pc,89,,0.0,eur,month
EdgeAngel,co_3066f0e2-cc95-41ab-b159-8fd6ffd537b4,cus_SLaFInPM5U5z7D,sub_1RQt5pKojVEYZPlXeW8l3M7g,89,,0.0,eur,month
Connextek,co_4357416c-16f5-42e8-b3f3-509fbb7338e3,cus_SLcoPthLUnSTKj,sub_1RQvYfKojVEYZPlXMwPDK2xL,89,,0.0,eur,month
Remitly,co_4e26e765-9515-4f9b-8831-13d7d29b87a1,cus_SLeIZ0sCif4DP9,sub_1RQxApKojVEYZPlXvyDlwopV,400,4800.0,0.0,eur,year
Mister Spex,co_39fe89ba-240f-4218-9dc5-16bbdb842d17,cus_SLqjX74YfDCgfE,sub_1RR963KojVEYZPlX6L1MeFoc,89,,0.0,eur,month
finanzen.net,co_a2ee4d8d-9fcc-498f-9a1d-f1f3ab64b709,cus_SLpZsoYhfzQL73,sub_1RRBicKojVEYZPlXvzL2Zcyl,199,,0.0,eur,month
Return Consulting,co_d83a7d37-cc18-4ce0-8d61-82884933e538,cus_SLu2PPN58nXIZ3,sub_1RRCW0KojVEYZPlX7ZpCE8k5,400,,0.0,eur,month
Payt,co_f4fbdb21-2719-4971-b184-42f1e824e0a0,cus_SLuXte4LK6g61q,sub_1RRCyzKojVEYZPlXIw55R0AT,89,,0.0,eur,month
Knowify,co_9fb7e9d5-af65-40c7-a17f-c46aa06eb810,cus_SLzRhm33XDd98q,sub_1RRHSzKojVEYZPlXVsPIwhXz,199,,0.0,usd,month
Soberlink,co_e9f69738-79b7-4455-b078-4224e6558488,cus_SM0AYWLJgi77FQ,sub_1RRIA5KojVEYZPlXYdvDFop0,89,,0.0,usd,month
Siteground,co_30ac1eb2-0ba7-4297-9828-b66f750aa871,cus_SMBgDL5EazPBCj,sub_1RRTK4KojVEYZPlXp4ecnkNW,169,2029.0,0.0,eur,year
Abax,co_3415a434-da34-4899-863a-ffe327ef8c50,cus_SMGtBmwl1Zj4fr,sub_1RRYMjKojVEYZPlXilzslucx,199,,0.0,eur,month
Gelia,co_8b36cce3-00a3-46e7-96fb-3ea5bc04e579,cus_SMIRjouKRyRvga,sub_1RRZqJKojVEYZPlXn2fqyXBT,267,,1.0,usd,month
Overlap,co_6b210ea5-7645-4e0e-a0d5-9b0659ede697,cus_SMIbiRnsbeqP1R,sub_1RRa2XKojVEYZPlXX7OmxLPe,89,,0.0,eur,month
Verusen,co_ec49585f-ffbc-4269-9492-68e707699fcc,cus_SMHzbvhKVcoY0j,sub_1RRakxKojVEYZPlXa7Z0CA5p,89,,0.0,usd,month
Flood Digital,co_0f518b17-537e-474b-b00a-322570a5041e,cus_SMLBMd7BBUNkI2,sub_1RRfiSKojVEYZPlXOmjn3F3C,699,,0.0,usd,month
Propellic,co_7bd5fa9b-9c84-4c92-a4fd-ae452c98da3f,cus_SMIS7gO4lnP88j,sub_1RRgbNKojVEYZPlXEBlY8xYp,2150,,0.0,eur,month
be.performance,co_cd291b4e-11c6-4fb3-9136-8d093ac3d46a,cus_SMYBgr5Xwd0Oyt,sub_1RRp5cKojVEYZPlXBCpfl6Yo,89,,0.0,eur,month
DbVisualizer,co_5ed95c8e-fbab-458b-b2f6-7005f391b535,cus_SMZPOlA2uaR4Py,sub_1RRqGpKojVEYZPlX1zMTnFtV,89,,0.0,eur,month
Resoneo,co_e22f148d-2e0b-4e06-bb36-c20da965734e,cus_SMgAuFoQzYWxSZ,sub_1RRwpEKojVEYZPlXCRJPWLZx,199,,0.0,eur,month
Seer Interactive,co_d76ea89d-7e41-4dcb-853a-ce6e13f6e6fe,cus_SMja2jl2tfEgOu,sub_1RS099KojVEYZPlXFfgXNbyb,1966,,0.0,eur,month
Oplayo,co_e50266c2-4191-49c0-8132-9d0153e354d8,cus_SNivtPNDS0j6Ne,sub_1RSxTxKojVEYZPlXmaeJ2ZFq,199,,0.0,eur,month
EffectiveSoft,co_7cc551a4-9d0d-4beb-8d7a-47813c8aebf7,cus_SNk2snKEWPVnsg,sub_1RSyYfKojVEYZPlXVy80z9L0,199,,0.0,eur,month
Artaxo,co_ce976d3e-4e44-4073-8ee6-7da483241572,cus_SNgiYKyOoR1JYx,sub_1RT2MYKojVEYZPlXJaF9p3gz,299,,0.0,eur,month
MutuiOnline,co_cfa73b2d-99ec-48f2-9f88-928194462e27,cus_SJZNuQEcZ1WBYS,sub_1RT2eEKojVEYZPlX0J7ue5jR,199,,0.0,eur,month
,,cus_SNoxlPv1io2riU,sub_1RT3JcKojVEYZPlXs95lzyqC,447,,0.0,eur,month
,,cus_SNp0oEdHbgLCh7,sub_1RT3MtKojVEYZPlXwYxtAqzZ,349,,0.0,eur,month
Engine HQ,co_c2a43c42-b462-43f9-967c-4ca29e071f98,cus_SNsnMVm5WJtKvH,sub_1RT71yKojVEYZPlXxe1d0hN6,90,,0.0,eur,month
more life,co_d65327c9-1823-40ed-87a3-68c31fbdc7c3,cus_SO1WyFUKjAwsb6,sub_1RTFVuKojVEYZPlXeDLbCXww,89,,0.0,eur,month
dilate,co_5241f947-748c-4c96-ad60-578007621e80,cus_SO4ETkM4c6JES2,sub_1RTI6MKojVEYZPlXhi9pf8N5,288,,0.0,eur,month
Brevo,co_90372dcb-b10f-412e-b8ae-30418bee7116,cus_RtUHYtAVgh1Wma,sub_1RTIVQKojVEYZPlXiQ6Se3UF,89,,0.0,eur,month
Fielmann,co_07db0cea-89db-4f40-bc2b-8316ff52cf23,cus_SO4wHqfeNRQ15I,sub_1RTIxtKojVEYZPlXPnsPFZXV,199,,0.0,eur,month
PIABO,co_fccc8513-3032-4f41-b4ad-b13bac4848ce,cus_SO759KkAzuqdJv,sub_1RTKuVKojVEYZPlXdSmwJzzy,89,,0.0,eur,month
Squarespace,co_570e7951-7cbc-45aa-bf06-966b1adbb5f2,cus_SIvXUsXvBTqpZZ,sub_1RTQ7bKojVEYZPlXCMKQERur,199,,0.0,eur,month
DEPT,co_126c1ca1-eed3-402e-a6eb-4cbe2b8d51c8,cus_SODf2O6AF4Y79O,sub_1RTREWKojVEYZPlXNg0R0NnU,1474,,0.0,eur,month
