,id,name,type,domain,stripe_customer_id,stripe_subscription_id,company_id,required_credits_annual,customer_id,mrr_cents,current_annual_revenue
16,co_0444b2c1-50b2-4b24-b347-1fbb7b3b1da5,Barthet,IN_HOUSE,barthet.com,cus_T2cJ1FlkA0M7Ca,sub_1S6X5cKojVEYZPlXjvo6jQei,co_0444b2c1-50b2-4b24-b347-1fbb7b3b1da5,75.0,cus_T2cJ1FlkA0M7Ca,8900.0,1068.0
17,co_04765723-5285-4898-a6e7-1c695ac91897,Telefónica ,IN_HOUSE,telefonica.de,cus_STLBPEjxAabDcF,sub_1RYOYCKojVEYZPlXg0S7zARv,co_04765723-5285-4898-a6e7-1c695ac91897,612.0,cus_STLBPEjxAabDcF,49900.0,5988.0
18,co_04dab04e-e0bc-4457-8eda-0a03c3f18a54,audibene,IN_HOUSE,audibene.de,cus_T1uAVmM73krTyA,sub_1S5qNUKojVEYZPlX6yAEYike,co_04dab04e-e0bc-4457-8eda-0a03c3f18a54,75.0,cus_T1uAVmM73krTyA,8900.0,1068.0
19,co_04e2caf4-d7de-41cb-bf03-84c3a2a31360,NFM,IN_HOUSE,nfm.com,cus_T1tZMtpHDgJkcw,sub_1S5pqSKojVEYZPlXinMbsFHR,co_04e2caf4-d7de-41cb-bf03-84c3a2a31360,66.0,cus_T1tZMtpHDgJkcw,8900.0,1068.0
20,co_050555cd-cf77-4143-80d8-f7acc481e4ed,Airalo Partners ,IN_HOUSE,airalo.com,cus_T49hSnypgaj3KQ,sub_1S81OdKojVEYZPlXFup2a4g0,co_050555cd-cf77-4143-80d8-f7acc481e4ed,45.0,,,0.0
21,co_050b3562-a9a5-42e8-b5c5-19388e8df04e,yaxum cedeno,AGENCY,we.com,cus_T4XVz2O21fOotn,sub_1S8OR5KojVEYZPlXQUWEDgsN,co_050b3562-a9a5-42e8-b5c5-19388e8df04e,15.0,,,0.0
22,co_0574c6f6-b107-4de8-9aaa-9080cee9d8f7,Firesign,AGENCY,firesignmarketing.com,cus_SYhlGbMIOkql0f,sub_1RdaLzKojVEYZPlXASzBCMHc,co_0574c6f6-b107-4de8-9aaa-9080cee9d8f7,48.0,cus_SYhlGbMIOkql0f,9950.0,1194.0
23,co_059a4473-8166-43df-9759-3902e60f9010,Filadd,IN_HOUSE,filadd.com.br,cus_T4cCESd7Gvnerh,sub_1S94xkKojVEYZPlXNAKXI7oP,co_059a4473-8166-43df-9759-3902e60f9010,9.0,,,0.0
24,co_05b9ee43-e430-49ea-9816-4edeec0e0e93,Omniscient,AGENCY,beomniscient.com,cus_SB7wu6ZPIFgWlX,sub_1RGlgRKojVEYZPlXM7tBZaQF,co_05b9ee43-e430-49ea-9816-4edeec0e0e93,1032.0,cus_SB7wu6ZPIFgWlX,9000.0,1080.0
25,co_05c604a4-3164-41b0-9fff-40efd36389be,SDC Ventures GmbH,IN_HOUSE,mysugardaddy.eu,cus_SuPBrTu8cMNtMk,sub_1RyaOIKojVEYZPlXsXfKifO1,co_05c604a4-3164-41b0-9fff-40efd36389be,72.0,cus_SuPBrTu8cMNtMk,19900.0,2388.0
26,co_05c67cff-f030-4629-9594-72d33f08cb75,HashMicro,IN_HOUSE,hashmicro.com,cus_T5VnMZwkDG5aTA,sub_1S9KnCKojVEYZPlX3O7gbYxH,co_05c67cff-f030-4629-9594-72d33f08cb75,18.0,,,0.0
27,co_062c3d29-6789-4720-a1a9-2567a07085e8,Lattice Partners,IN_HOUSE,latticepartners.ai,cus_T5TS2mFDehNYgC,sub_1S9IWmKojVEYZPlXS1goKtWi,co_062c3d29-6789-4720-a1a9-2567a07085e8,27.0,,,0.0
28,co_063c3e43-121f-49a6-9ac1-ca4b79041b58,Bounti,IN_HOUSE,bounti.co,cus_T5x3utU5TZCMVd,sub_1S9lAQKojVEYZPlXXHAF2Mq7,co_063c3e43-121f-49a6-9ac1-ca4b79041b58,75.0,,,0.0
29,co_064b7a32-a600-479a-800f-bb9bc974a6f6,BIKE24,IN_HOUSE,bike24.de,cus_SzvTWX7pMlYoIq,sub_1S5lXzKojVEYZPlXEzHMXoUy,co_064b7a32-a600-479a-800f-bb9bc974a6f6,75.0,cus_SzvTWX7pMlYoIq,19900.0,2388.0
30,co_0657c6cf-967c-4674-b118-3718d9bab6c6,Siteminder,IN_HOUSE,siteminder.com,cus_SGqskTrof2w1ri,sub_1RNpeLKojVEYZPlXQETnBd4M,co_0657c6cf-967c-4674-b118-3718d9bab6c6,303.0,cus_SGqskTrof2w1ri,29900.0,3588.0
31,co_065838fd-e145-4c7f-85be-24cdc7bd00f4,Blueprint for Scale,AGENCY,blueprintforscale.com,cus_SpTjYVHaRpXCd7,sub_1RtonTKojVEYZPlX1mwDYkvO,co_065838fd-e145-4c7f-85be-24cdc7bd00f4,24.0,cus_SpTjYVHaRpXCd7,8900.0,1068.0
32,co_067dd432-f307-4518-8a74-47da782520ff,Payhawk,IN_HOUSE,payhawk.com,cus_SOsQgvFZLoD0Ew,sub_1RVa7YKojVEYZPlXuTXVJkkU,co_067dd432-f307-4518-8a74-47da782520ff,1800.0,,,0.0
33,co_06ab7ddb-431f-49b9-a57c-75410796256b,Ray Sono,AGENCY,raysono.com,cus_StBec9FvAYEBYe,sub_1RxPKVKojVEYZPlX1CMIJCOM,co_06ab7ddb-431f-49b9-a57c-75410796256b,48.0,cus_StBec9FvAYEBYe,8900.0,1068.0
34,co_06c35d2f-7e3b-42a3-bbcd-5c799d2c8cb7,Soda PDF,IN_HOUSE,sodapdf.com,cus_SlNwBCc0nqrWq7,sub_1RprCCKojVEYZPlXd8rjZrcB,co_06c35d2f-7e3b-42a3-bbcd-5c799d2c8cb7,174.0,cus_SlNwBCc0nqrWq7,19900.0,2388.0
35,co_0732aee6-8329-4b3c-8542-deac6f7bf7e7,"EUP TECHNOLOGY.,JSC",AGENCY,eupgroup.net,cus_T4JjOivXpYVwwH,sub_1S9zDKKojVEYZPlXO111szV2,co_0732aee6-8329-4b3c-8542-deac6f7bf7e7,15.0,,,0.0
36,co_07db0cea-89db-4f40-bc2b-8316ff52cf23,Fielmann,IN_HOUSE,fielmann.de,cus_SO4wHqfeNRQ15I,sub_1RTIxtKojVEYZPlXPnsPFZXV,co_07db0cea-89db-4f40-bc2b-8316ff52cf23,198.0,cus_SO4wHqfeNRQ15I,19900.0,2388.0
37,co_07fe732d-b143-4193-91f0-02864963f4eb,Bloom Search Marketing,AGENCY,makeitbloom.com,cus_T1VSUXL86aPtin,sub_1S5SSpKojVEYZPlXv37Dy5Tf,co_07fe732d-b143-4193-91f0-02864963f4eb,105.0,cus_T1VSUXL86aPtin,8900.0,1068.0
38,co_0844146b-3347-4c88-87ee-45abdae048e8,KO-PYLOT,AGENCY,ko-pylot.com,cus_SdusdBrGL98Jj9,sub_1Rid70KojVEYZPlXOl9XgNYl,co_0844146b-3347-4c88-87ee-45abdae048e8,90.0,cus_SdusdBrGL98Jj9,8900.0,1068.0
39,co_0848bb62-50b1-4d78-9270-145624504c88,Agency,AGENCY,agency.com,cus_SuGOfAl0tYA7dW,sub_1S5ITSKojVEYZPlXaLFG4aqa,co_0848bb62-50b1-4d78-9270-145624504c88,18.0,cus_SuGOfAl0tYA7dW,8900.0,1068.0
40,co_087bde52-7d11-4359-959b-72a0fce68dda,ifeel,IN_HOUSE,ifeelonline.com,cus_Sp4Lf4OfxQAdGC,sub_1S0exeKojVEYZPlXgC4ZwQqY,co_087bde52-7d11-4359-959b-72a0fce68dda,72.0,cus_Sp4Lf4OfxQAdGC,8900.0,1068.0
41,co_08ad0bb9-0c22-480e-a8ea-047ce29dd366,this is digital,AGENCY,thisisdigital.co.uk,cus_SebfXvFr7VwJu1,sub_1RjIThKojVEYZPlX6PqcXH50,co_08ad0bb9-0c22-480e-a8ea-047ce29dd366,150.0,cus_SebfXvFr7VwJu1,9950.0,1194.0
42,co_08adf0b8-6be6-4680-b770-8d6fa2bd4d41,Brandshark,AGENCY,brandshark.com,cus_T6gnskwgnGjNpP,sub_1SATS4KojVEYZPlXkFDeiK5n,co_08adf0b8-6be6-4680-b770-8d6fa2bd4d41,33.0,,,0.0
43,co_094e5c7a-15a0-4994-9bfc-2490537a3695,ex Ventures UG,AGENCY,ehochx.com,cus_Sp7sfP7Odaxh5P,sub_1RxqTEKojVEYZPlXATU0crxb,co_094e5c7a-15a0-4994-9bfc-2490537a3695,6.0,cus_Sp7sfP7Odaxh5P,8900.0,1068.0
44,co_096294c3-a8f5-4157-b180-5195319f9b77,Tell Me More,AGENCY,tellmemore.co,cus_SYkaN4zD06sXnm,sub_1Rdd5dKojVEYZPlXBn22plpT,co_096294c3-a8f5-4157-b180-5195319f9b77,297.0,cus_SYkaN4zD06sXnm,8900.0,1068.0
45,co_098b1678-74bc-4a44-a745-547ccc12be57,Cavalry Ventures,IN_HOUSE,cavalry.vc,cus_T5C6Qo6SEjr1eK,sub_1S91ltKojVEYZPlX6XzwSTZh,co_098b1678-74bc-4a44-a745-547ccc12be57,36.0,,,0.0
46,co_09a16fc8-152f-4a6b-b6f5-506ff8995f7c,Railsware,IN_HOUSE,railsware.com,cus_SPIOnnIPBnt6bb,sub_1RUToMKojVEYZPlXcsaRWZIZ,co_09a16fc8-152f-4a6b-b6f5-506ff8995f7c,100.0,cus_SPIOnnIPBnt6bb,8900.0,1068.0
47,co_09c3e8b0-41e2-4805-ab30-2dd45dd2e557,Advisor Rankings,AGENCY,advisorrankings.io,cus_T1FIu9SjPAzHBR,sub_1S5Co3KojVEYZPlXx0jxtoi8,co_09c3e8b0-41e2-4805-ab30-2dd45dd2e557,66.0,cus_T1FIu9SjPAzHBR,1333.0,159.96
48,co_09c70ad0-fdf9-4db7-91bd-ab1de6cfb06c,Advidera ,AGENCY,advidera.com,cus_SlIwCD5jwx1a4L,sub_1RxObOKojVEYZPlX5Bkkjs84,co_09c70ad0-fdf9-4db7-91bd-ab1de6cfb06c,15.0,cus_SlIwCD5jwx1a4L,8900.0,1068.0
49,co_09e1de7c-a6f4-462b-b534-d73326e33314,precis.,AGENCY,precisdigital.com,cus_RtTJLEcaVIJmYe,sub_1QzgNHKojVEYZPlX2gljsOWX,co_09e1de7c-a6f4-462b-b534-d73326e33314,498.0,cus_RtTJLEcaVIJmYe,25900.0,3108.0
50,co_09f80b79-e50b-4458-9487-b886e82101fe,Index Ventures,IN_HOUSE,indexventures.com,cus_Sc0Cw0hY0hbrTv,sub_1RgmDmKojVEYZPlXEWbWWtFi,co_09f80b79-e50b-4458-9487-b886e82101fe,75.0,cus_Sc0Cw0hY0hbrTv,8900.0,1068.0
51,co_0a22cc43-ae3d-46c9-8a06-9f64cc22b122,Future PLC,AGENCY,futureplc.com,cus_SWOWB7PiQ29ha3,sub_1RbLkVKojVEYZPlX3HeQLSVv,co_0a22cc43-ae3d-46c9-8a06-9f64cc22b122,1482.0,cus_SWOWB7PiQ29ha3,49900.0,5988.0
52,co_0a2906a1-338c-4f6b-bddf-57edbd001988,Gravy,AGENCY,thisisgravy.co.uk,cus_SlfdFyfezTeXcg,sub_1Rq8J7KojVEYZPlXQXRm7gVv,co_0a2906a1-338c-4f6b-bddf-57edbd001988,0.0,cus_SlfdFyfezTeXcg,8900.0,1068.0
53,co_0afddc88-1d11-40f4-adc7-21e451058b79,Outletcity Metzingen,IN_HOUSE,outletcity.com,cus_SUVWAVyAw7GsXk,sub_1RZWWVKojVEYZPlX5hG2TTND,co_0afddc88-1d11-40f4-adc7-21e451058b79,75.0,cus_SUVWAVyAw7GsXk,8900.0,1068.0
54,co_0b199232-f859-4f09-9d5c-100def99011d,Access Holdings ,IN_HOUSE,accessholdings.com,cus_SlP5Bbkfb0iNjS,sub_1RpxqhKojVEYZPlXGaO4jmnO,co_0b199232-f859-4f09-9d5c-100def99011d,63.0,cus_SlP5Bbkfb0iNjS,9000.0,1080.0
55,co_0b2528c9-e39e-424f-a2e3-868d1b4307f6,Mint Studios,AGENCY,mintcopywritingstudios.com,cus_S94aZDe6Qv4GAB,sub_1REmRpKojVEYZPlXiGANOpFX,co_0b2528c9-e39e-424f-a2e3-868d1b4307f6,543.0,cus_S94aZDe6Qv4GAB,7500.0,900.0
56,co_0b7309e2-ee02-47c4-8e51-29f464605c7a,Skindr,IN_HOUSE,skindr.com,cus_Sasi7Glz49DMuw,sub_1RfgyJKojVEYZPlXfrAApz1U,co_0b7309e2-ee02-47c4-8e51-29f464605c7a,24.0,cus_Sasi7Glz49DMuw,8900.0,1068.0
57,co_0badac86-8c10-4ad9-af88-7d462cf16e38,Meili & Hess,IN_HOUSE,meilihess.ch,cus_Sm8GUg153kFohf,sub_1Rqa05KojVEYZPlX53fjwOnn,co_0badac86-8c10-4ad9-af88-7d462cf16e38,540.0,cus_Sm8GUg153kFohf,12000.0,1440.0
58,co_0bafaae7-6002-433a-861c-f8d2606c739d,Sharetribe,IN_HOUSE,sharetribe.com,cus_Sbe5eqx5EzshHX,sub_1RiwkDKojVEYZPlXhC7zcmWL,co_0bafaae7-6002-433a-861c-f8d2606c739d,30.0,cus_Sbe5eqx5EzshHX,8900.0,1068.0
59,co_0bf59e5e-3209-4dc9-9155-fe4191a752d0,Pan Macmillan,IN_HOUSE,panmacmillan.com,cus_SyTgWB5ja5jpHH,sub_1S90drKojVEYZPlXm0vYdRam,co_0bf59e5e-3209-4dc9-9155-fe4191a752d0,252.0,cus_SyTgWB5ja5jpHH,19900.0,2388.0
60,co_0c072bd6-8429-4ec1-a368-2d5272868ea0,Kaliber,AGENCY,kaliber.asia,cus_T53uwA7mdkckJ0,sub_1S8tt1KojVEYZPlXDjsPeqYi,co_0c072bd6-8429-4ec1-a368-2d5272868ea0,18.0,,,0.0
61,co_0c150e84-2302-4fa1-9d91-4b6fd7c8c42d,FastDL,IN_HOUSE,fastdl.app,cus_SZkAwlpSuMDmqL,sub_1ReafwKojVEYZPlXp11oZsz3,co_0c150e84-2302-4fa1-9d91-4b6fd7c8c42d,45.0,cus_SZkAwlpSuMDmqL,4000.0,480.0
62,co_0c55edcd-bd3e-47fa-b83e-bc50f50e0321,Worders,AGENCY,worders.net,cus_SjqJmQSVb3sDZR,sub_1RoMePKojVEYZPlX1hi3w720,co_0c55edcd-bd3e-47fa-b83e-bc50f50e0321,27.0,cus_SjqJmQSVb3sDZR,8900.0,1068.0
63,co_0c5a456b-2886-4f0b-8c19-77a4be754986,UAB Tvora,IN_HOUSE,tvora.eu,cus_Srj6E2Tjk0S5Px,sub_1S0fRkKojVEYZPlXUVHxEp88,co_0c5a456b-2886-4f0b-8c19-77a4be754986,75.0,cus_Srj6E2Tjk0S5Px,8900.0,1068.0
64,co_0cd47076-39a7-40b9-b757-1e813dc80444,sofatutor,IN_HOUSE,sofatutor.com,cus_SeGZ3H0cuGLAXf,sub_1RkiMCKojVEYZPlXotqmeGZn,co_0cd47076-39a7-40b9-b757-1e813dc80444,186.0,cus_SeGZ3H0cuGLAXf,19900.0,2388.0
65,co_0cda6001-4f69-47cc-bbd2-db4bf9825c41,Asseco Solutions AG,IN_HOUSE,assecosolutions.com,cus_SBK7AMw1Il8i4x,sub_1RGxTgKojVEYZPlXDRkfS8nB,co_0cda6001-4f69-47cc-bbd2-db4bf9825c41,325.0,cus_SBK7AMw1Il8i4x,12000.0,1440.0
66,co_0ce588ae-18c1-426a-b899-b1e666a70efa,Narrative Industries,AGENCY,narrativeindustries.com,cus_T5CofHZjbyMraQ,sub_1S953pKojVEYZPlXPMkSq6w1,co_0ce588ae-18c1-426a-b899-b1e666a70efa,30.0,,,0.0
67,co_0d0915cd-38a9-48e8-a0ef-6ca0c36a4cfe,Practice Better,IN_HOUSE,practicebetter.io,cus_StiFxii3KLcese,sub_1S3jooKojVEYZPlXfgCKXchx,co_0d0915cd-38a9-48e8-a0ef-6ca0c36a4cfe,72.0,,,0.0
68,co_0d52313d-fc29-4aca-bef7-f2cd80f9d946,Bearaby,IN_HOUSE,bearaby.com,cus_Sp3KTYziQyLr3j,sub_1RtPIQKojVEYZPlXOvRqBSSh,co_0d52313d-fc29-4aca-bef7-f2cd80f9d946,75.0,cus_Sp3KTYziQyLr3j,8900.0,1068.0
69,co_0da1c429-bae0-4049-81cd-2c7b06196a84,Ströer Publishing,AGENCY,stroeer-publishing.de,cus_SThe4chllDYVG9,sub_1RYkG2KojVEYZPlX6O6eUyAV,co_0da1c429-bae0-4049-81cd-2c7b06196a84,39.0,cus_SThe4chllDYVG9,8900.0,1068.0
70,co_0da6da6a-dc69-4f72-8ca0-dfb11874baa8,varosun,IN_HOUSE,varosun.com,cus_Sc2w6KmfOOeEWv,sub_1RgpHrKojVEYZPlXgevea5MR,co_0da6da6a-dc69-4f72-8ca0-dfb11874baa8,27.0,cus_Sc2w6KmfOOeEWv,8900.0,1068.0
71,co_0def59b5-4a11-4bfa-ac2a-be374f587dcd,Espace Concours,IN_HOUSE,espace-concours.fr,cus_T1UNHUpIUppI7x,sub_1S5kDdKojVEYZPlXHwTJNbwr,co_0def59b5-4a11-4bfa-ac2a-be374f587dcd,48.0,cus_T1UNHUpIUppI7x,8900.0,1068.0
72,co_0e07b710-f3eb-49f8-adfd-959be7b5d511,Abraxio,IN_HOUSE,abraxio.com,cus_SgPuci4e8Uua6l,sub_1Rl35FKojVEYZPlXkgGEteIi,co_0e07b710-f3eb-49f8-adfd-959be7b5d511,276.0,cus_SgPuci4e8Uua6l,202900.0,24348.0
73,co_0e1709f0-2f26-446b-8def-67c91267df11,papernest,IN_HOUSE,papernest.com,cus_SeAjqheBJRgjPu,sub_1RisQCKojVEYZPlXXHcvoy9d,co_0e1709f0-2f26-446b-8def-67c91267df11,21.0,cus_SeAjqheBJRgjPu,8900.0,1068.0
74,co_0e19bb36-c91b-42df-abde-49190db3d0f4,AsiaYo Travel Technology ,AGENCY,asiayo.com,cus_SjT3CIQLa7QJQe,sub_1RoJ0YKojVEYZPlXy73jU1aC,co_0e19bb36-c91b-42df-abde-49190db3d0f4,75.0,cus_SjT3CIQLa7QJQe,8900.0,1068.0
75,co_0e33807f-f46f-4b82-aace-46264edd925a,Brandsome,AGENCY,brandsomeprojects.be,cus_SqWvn5fSDpnOUv,sub_1RupwuKojVEYZPlXNn9t10In,co_0e33807f-f46f-4b82-aace-46264edd925a,72.0,cus_SqWvn5fSDpnOUv,8900.0,1068.0
76,co_0e34cffc-f0a5-4294-af90-dcd346447902,Functionize,IN_HOUSE,functionize.com,cus_SpB0gSArhfiPnp,sub_1RvL06KojVEYZPlX6cTGaGXo,co_0e34cffc-f0a5-4294-af90-dcd346447902,300.0,cus_SpB0gSArhfiPnp,19900.0,2388.0
77,co_0e371ddc-b2f2-45e0-b0fe-cb0fc10de39d,Verder,IN_HOUSE,verderliquids.com,cus_STJEpn4EQBz8IE,sub_1RYMdbKojVEYZPlXtdRbiqkZ,co_0e371ddc-b2f2-45e0-b0fe-cb0fc10de39d,144.0,cus_STJEpn4EQBz8IE,19900.0,2388.0
78,co_0e589c21-7558-4571-9b39-afd879b8cabf,"LAUNCHMATE CO.,LTD",IN_HOUSE,launch-mate.com,cus_T6atBY8IfHhKQZ,sub_1SANi9KojVEYZPlXWFkSVkD6,co_0e589c21-7558-4571-9b39-afd879b8cabf,21.0,,,0.0
79,co_0e5f23c3-5fc5-4ad7-bd10-3dd291df3f59,Magnetic North,AGENCY,magnorth.com,cus_T3tWIKut5EprKK,sub_1S7ljUKojVEYZPlX8ksFIZMa,co_0e5f23c3-5fc5-4ad7-bd10-3dd291df3f59,399.0,cus_T3tWIKut5EprKK,4500.0,540.0
80,co_0e630683-fe43-4836-ba2d-ad13401efcc5,Deutsche Familienversicherung,IN_HOUSE,deutsche-familienversicherung.de,cus_T58WhNh6jy3x3g,sub_1S91vmKojVEYZPlXDcFcO0cg,co_0e630683-fe43-4836-ba2d-ad13401efcc5,15.0,,,0.0
81,co_0f1a9ad5-3e4f-4857-91da-f0a7b79b6303,Universität Siegen,IN_HOUSE,uni-siegen.de,cus_T6d0LcPKwY3WZQ,sub_1SAPmVKojVEYZPlXbeBbcmij,co_0f1a9ad5-3e4f-4857-91da-f0a7b79b6303,42.0,,,0.0
82,co_0f518b17-537e-474b-b00a-322570a5041e,Flood Digital,AGENCY,flooddigital.co,cus_SMLBMd7BBUNkI2,sub_1RRfiSKojVEYZPlXOmjn3F3C,co_0f518b17-537e-474b-b00a-322570a5041e,300.0,cus_SMLBMd7BBUNkI2,60000.0,7200.0
83,co_0f649f88-35b0-401c-8fd2-fe9397f1c2bb,Advice Interactive,AGENCY,adviceinteractive.com,cus_SnrUb7yvjBigBm,sub_1RsG1tKojVEYZPlX4GOaya49,co_0f649f88-35b0-401c-8fd2-fe9397f1c2bb,5943.0,cus_SnrUb7yvjBigBm,223000.0,26760.0
84,co_0f6b9f0f-2dee-4799-935b-3cee9173bd91,גמבורג הסעות rent a bus,IN_HOUSE,rentabus.co.il,cus_SudVF18pF8CkFK,sub_1RyoG6KojVEYZPlXPVHnqW70,co_0f6b9f0f-2dee-4799-935b-3cee9173bd91,294.0,cus_SudVF18pF8CkFK,4975.0,597.0
85,co_0f74d684-2c92-438b-ac3f-2f17969037be,cafecasino,IN_HOUSE,cafecasino.lv,cus_SwUFe3OrRzljVN,sub_1S0bIgKojVEYZPlXpCV6mGXf,co_0f74d684-2c92-438b-ac3f-2f17969037be,63.0,cus_SwUFe3OrRzljVN,8900.0,1068.0
86,co_0f87ac16-84bd-4f79-9122-7f66dd9c68d6,Jedha Bootcamp,IN_HOUSE,jedha.co,cus_SZOfRdV42vAHRx,sub_1ReFsdKojVEYZPlXcxx1kGn5,co_0f87ac16-84bd-4f79-9122-7f66dd9c68d6,171.0,cus_SZOfRdV42vAHRx,19900.0,2388.0
87,co_0f9cd6f1-796f-4faa-9eb9-65cbec0eca02,KB Studio,AGENCY,kbstudio.org,cus_Sr2eO4Gr3nrRwU,sub_1RvKZdKojVEYZPlXpfqj1x6L,co_0f9cd6f1-796f-4faa-9eb9-65cbec0eca02,21.0,cus_Sr2eO4Gr3nrRwU,8900.0,1068.0
88,co_0fcbf5ba-99dd-4086-b86e-644fe5ac9fa2,PANBlast,AGENCY,panblastpr.com,cus_SRBr61mVDi0JGn,sub_1RWJTcKojVEYZPlXgW8aEowc,co_0fcbf5ba-99dd-4086-b86e-644fe5ac9fa2,300.0,cus_SRBr61mVDi0JGn,4975.0,597.0
89,co_0feabcdb-0064-406a-a24e-ef728c55f9d0,Siege,AGENCY,siegemedia.com,cus_Sbl0y6zT1RW40j,sub_1S8n34KojVEYZPlX6R7xXMPv,co_0feabcdb-0064-406a-a24e-ef728c55f9d0,214.0,cus_Sbl0y6zT1RW40j,137300.0,16476.0
90,co_10804805-ab21-4401-8367-028dcdf8069e,VisitKyiv,IN_HOUSE,visitkyiv.com,cus_T4TOih0LWxIF5V,sub_1S8KUQKojVEYZPlXGZTwv83D,co_10804805-ab21-4401-8367-028dcdf8069e,21.0,,,0.0
